yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
-37.49,-2.93,-0.58,12.78,-5.91,234.50,19.83,14:57:17.734,8/28/14,1,1,4102.1513N, 8237.7314W,3.81,24626.00,6
-27.20,-3.42,-0.56,13.72,-6.89,236.54,23.31,14:57:17.953,8/28/14,1,1,4102.1523N, 8237.7314W,3.81,24627.50,6
-15.60,-3.81,-0.59,12.78,-6.89,236.54,19.83,14:57:17.953,8/28/14,1,1,4102.1523N, 8237.7314W,3.87,24627.50,6
-2.78,-4.19,-0.58,12.78,-6.89,238.59,19.83,14:57:18.140,8/28/14,1,1,4102.1528N, 8237.7304W,4.06,24628.40,6
11.44,-4.46,-0.67,12.78,-6.89,241.66,19.83,14:57:18.359,8/28/14,1,1,4102.1533N, 8237.7294W,4.06,24629.40,6
26.74,-4.74,-0.75,14.67,-6.89,243.71,19.83,14:57:18.359,8/28/14,1,1,4102.1533N, 8237.7294W,4.44,24629.40,6
42.75,-4.99,-0.84,13.72,-6.89,249.86,19.25,14:57:18.546,8/28/14,1,1,4102.1533N, 8237.7294W,4.44,24630.70,6
58.97,-4.99,-1.06,14.67,-6.89,251.90,19.25,14:57:18.546,8/28/14,1,1,4102.1533N, 8237.7294W,4.84,24630.70,6
74.83,-5.00,-1.35,14.67,-6.89,251.90,23.31,14:57:18.750,8/28/14,1,1,4102.1542N, 8237.7285W,4.94,24632.00,6
89.83,-4.91,-1.69,13.72,-5.91,253.95,19.83,14:57:18.937,8/28/14,1,1,4102.1547N, 8237.7285W,4.94,24633.30,6
103.63,-4.80,-2.01,14.67,-7.88,257.02,19.25,14:57:18.937,8/28/14,1,1,4102.1547N, 8237.7285W,5.16,24633.30,6
116.06,-4.67,-2.32,14.67,-5.91,257.02,21.57,14:57:19.156,8/28/14,1,1,4102.1552N, 8237.7285W,5.42,24634.50,6
126.97,-4.44,-2.53,13.72,-6.89,256.00,20.99,14:57:19.343,8/28/14,1,1,4102.1557N, 8237.7294W,5.42,24635.90,6
136.66,-4.32,-2.76,14.67,-5.91,256.00,19.25,14:57:19.343,8/28/14,1,1,4102.1557N, 8237.7294W,5.66,24635.90,6
145.16,-4.25,-2.92,15.62,-7.88,258.05,19.25,14:57:19.546,8/28/14,1,1,4102.1562N, 8237.7285W,5.66,24638.40,6
